Pair,Count
29 -> 0,866
75 -> 82,550
91 -> 151,493
0 -> 151,422
2 -> 0,320
91 -> 38,280
1 -> 75,271
91 -> 1,224
0 -> 1,210
91 -> 0,194
151 -> 1,173
1 -> 0,112
0 -> 29,109
151 -> 0,108
91 -> 75,101
37 -> 0,80
1 -> 82,77
151 -> 75,75
34 -> 0,75
6 -> 0,62
