Supplier,Name 1,Events,Unique_Inv,Avg_Exc_Per_Inv
51004610,CARMEUSE LIME AND STONE INC,268,268,1.0
51004029,PPG INDUSTRIES INC,142,142,1.0
51003869,SOUTHERN IONICS INCORPORATED,140,138,1.01
51003907,LHOIST NORTH AMERICA OF ALABAMA,71,71,1.0
51004581,THOMPSONS WELDING SERVICES INC,70,57,1.23
51003926,MSC INDUSTRIAL SUPPLY CO INC,58,49,1.18
51004477,MICROSOFT CORP,54,17,3.18
51004519,PRECISION MEASUREMENTS INC,42,40,1.05
51004484,OLIN CORP - CHLOR ALKALI,41,36,1.14
51004553,MOTION INDUSTRIES INC,33,29,1.14
51003880,HYDRO-VAC INDUSTRIAL SERVICES INC,33,31,1.06
51003955,TERRA FIRST,31,31,1.0
51005092,COLLABORIT ENTERPRISE ASSET MANAGEM,31,10,3.1
51004518,ROCKWELL AUTOMATION INC,28,8,3.5
51004872,BESTWADE PETROLEUM INC,28,22,1.27
51004642,MCCRARY-WEST CONSTRUCTION CO INC,28,11,2.55
51004533,CENTRO INC,27,26,1.04
51004490,COLUMBUS RUBBER & GASKET CO INC,26,23,1.13
51004569,MARATHON PETROLEUM COMPANY LP,26,26,1.0
51004603,MORIN PROCESS EQUIPMENT,26,26,1.0
