Supplier,Name 1,Unique_Invoices,Exception_Events,Avg_Exc_Per_Inv,Cumulative_Events,Cumulative_Pct
51004011,THOMPSON MACHINERY,26,33,1.27,9949,74.45
51004199,LINDLER FRIED GROUP INC,15,32,2.13,9981,74.69
51004640,MARSPEC TECHNICAL PRODUCTS,17,31,1.82,10012,74.92
51005067,HCL TECHNOLOGIES CORPORATE SERVICES,12,31,2.58,10043,75.16
51003942,ALLEN ENGINEERING AND SCIENCE INC,15,31,2.07,10074,75.39
51004636,THE G C BROACH CO,9,30,3.33,10104,75.61
51003946,THE EOSYS GROUP INC,14,30,2.14,10134,75.84
51003359,OXBOW CALCINING INTERNATIONAL,30,30,1.0,10164,76.06
51004513,UNIVAR SOLUTIONS USA,13,30,2.31,10194,76.29
51004632,LYNN WHITSETT CORP,20,30,1.5,10224,76.51
51004744,ALLIED SEALS INTERNATIONAL INC,10,29,2.9,10253,76.73
51005054,GRASIM INDUSTRIES LTD,12,28,2.33,10281,76.94
51004711,MICHAEL F ROELING INC,22,28,1.27,10309,77.15
51006140,MSC MEDITERRANEAN SHIPPING COMPANY,14,28,2.0,10337,77.36
51003901,R3L ENGINEERING,8,28,3.5,10365,77.56
51002818,HOLLAND MANUFACTURING CORP.,10,28,2.8,10393,77.77
51004353,KPMG (NL),6,27,4.5,10420,77.98
51005091,PALLET ONE OF ALABAMA LLC,12,27,2.25,10447,78.18
51004728,OPTIV SECURITY INC,11,27,2.45,10474,78.38
51004739,MCCONNELL SALES & ENGINEERING CORP,8,26,3.25,10500,78.58
51004645,CONSOLIDATED PIPE & SUPPLY CO,8,26,3.25,10526,78.77
51004851,HOOD PACKAGING CORPORATION,13,26,2.0,10552,78.96
51004624,SEALING SPECIALISTS INC,10,25,2.5,10577,79.15
51004247,FUSE3 SOLUTIONS LLC,22,24,1.09,10601,79.33
51004681,EMERY OLEOCHEMICALS LLC,16,24,1.5,10625,79.51
51004591,RELEVANT INDUSTRIAL LLC,16,24,1.5,10649,79.69
51004533,CENTRO,15,24,1.6,10673,79.87
51004643,ADVANCION CORPORATION,10,24,2.4,10697,80.05
51003973,BW PACKAGING SYSTEMS INC,8,24,3.0,10721,80.23
51004326,MELINDA REEVES,10,23,2.3,10744,80.4
51004192,SUMMIT HOLDING INC,8,23,2.88,10767,80.57
51004550,COATEX INC,12,23,1.92,10790,80.75
51003939,PUCKETT- MCGEE ELECTRIC SUPPLY CO,13,23,1.77,10813,80.92
51003883,SYSTEM SCALE CORPORATION,16,22,1.38,10835,81.08
51003936,MCCULLOUGH SPECIALTY PRODUCTS &,6,22,3.67,10857,81.25
51003937,NEXAIR LLC,11,22,2.0,10879,81.41
51004015,UNI TECH ENGINEERING SALES CO INC,9,22,2.44,10901,81.58
51004682,SCHNEIDER ELECTRIC SYSTEMS USA INC,18,21,1.17,10922,81.73
51004530,JAPIT INC,14,21,1.5,10943,81.89
51004016,MOLLMANS WATER CONDITIONING INC,20,21,1.05,10964,82.05
